gid,before,after,change,change_percentage
349241,161.0,161.0,0.0,0.0
705634,2.0,2.0,0.0,0.0
1111303,2.0,2.0,0.0,0.0
1461917,18.022222222222222,19.0,0.9777777777777779,0.05425400739827374
1547663,3.0,3.0,0.0,0.0
1570020,25.0,25.0,0.0,0.0
2067414,0.0,1.0,1.0,inf
3245790,146.0,146.0,0.0,0.0
4473517,28.644444444444446,28.214814814814815,-0.42962962962963047,-0.014998707008016579
5604798,7.0,8.0,1.0,0.14285714285714285
5659452,1.1777777777777778,2.0,0.8222222222222222,0.6981132075471698
6198699,10.0,10.0,0.0,0.0
6448802,20.0,27.510204081632654,7.510204081632654,0.3755102040816327
6723399,1.608888888888889,2.0,0.39111111111111097,0.24309392265193358
8077402,36.0,36.31666666666667,0.31666666666667,0.008796296296296389
11879182,1.0,1.1777777777777778,0.1777777777777778,0.1777777777777778
15231212,17.0,17.0,0.0,0.0
15847020,1.0,2.7777777777777777,1.7777777777777777,1.7777777777777777
16089035,1.0,1.0,0.0,0.0
20042152,6.0,6.0,0.0,0.0
22954406,0.6567164179104478,1.0,0.34328358208955223,0.5227272727272727
23078237,0.9272727272727272,1.0,0.07272727272727275,0.07843137254901963
31953138,2.0,2.0,0.0,0.0
33403208,0.8777777777777778,1.0,0.12222222222222223,0.13924050632911394
33403319,1.0,1.0,0.0,0.0
33884891,0.0,0.0,0.0,0.0
37296989,0.0,0.9666666666666667,0.9666666666666667,inf
38663545,3.0,3.0,0.0,0.0
38747769,2.0,2.0,0.0,0.0
40967960,306.8333333333333,315.0,8.166666666666686,0.026615969581749114
41025116,8.0,8.773333333333333,0.7733333333333334,0.09666666666666668
45397035,8.0,16.0,8.0,1.0
48305754,22.4,22.766666666666666,0.36666666666666714,0.01636904761904764
49672452,0.0,14.5,14.5,inf
49870872,2.0,2.0,0.0,0.0
52284593,1.6092592592592594,1.4444444444444444,-0.16481481481481497,-0.10241657077100123
52763688,132.0,132.0,0.0,0.0
56663951,12.0,12.019047619047619,0.01904761904761898,0.0015873015873015817
62963654,19.617283950617285,19.0,-0.6172839506172849,-0.03146633102580244
63765629,0.0,0.0,0.0,0.0
70329137,1.0,1.0,0.0,0.0
72670873,13.0,13.0,0.0,0.0
74318318,4.0,3.75438596491228,-0.24561403508772006,-0.061403508771930015
76684607,1.0,1.0,0.0,0.0
79116335,29.0,29.0,0.0,0.0
79986110,102.0,102.0,0.0,0.0
80102317,21.014814814814812,24.0,2.9851851851851876,0.1420514628128306
83271262,4.0,4.0,0.0,0.0
84769237,1.0,1.0,0.0,0.0
87027412,3.0,2.8074074074074074,-0.19259259259259265,-0.06419753086419755
88643649,5.0,5.0,0.0,0.0
92111509,5.0,5.0,0.0,0.0
102174255,6.0,6.0,0.0,0.0
107213695,0.2,2.0,1.8,9.0
113041050,26.0,26.0,0.0,0.0
113191674,0.9466666666666667,1.0,0.053333333333333344,0.05633802816901409
115324869,36.0,36.0,0.0,0.0
130886168,12.0,12.0,0.0,0.0
131548546,68.0,67.97222222222223,-0.027777777777771462,-0.0004084967320260509
132073482,3.807051282051282,4.0,0.19294871794871815,0.050681932985351126
135655182,0.9682539682539683,1.0,0.031746031746031744,0.032786885245901634
137271423,46.0,46.0,0.0,0.0
138296748,36.0,36.63333333333333,0.6333333333333329,0.01759259259259258
140206813,0.0,0.30740740740740746,0.30740740740740746,inf
144804895,358.0,358.0,0.0,0.0
146093657,46.0,46.0,0.0,0.0
150275195,12.322222222222223,13.133333333333333,0.81111111111111,0.06582506762849405
151487391,1.0,1.0,0.0,0.0
152877801,1.0,2.1333333333333333,1.1333333333333333,1.1333333333333333
153442864,8.463492063492064,12.0,3.5365079365079364,0.41785446361590395
153941720,3.0,3.0,0.0,0.0
154309829,3.8009950248756224,4.0,0.19900497512437765,0.05235602094240825
157900526,1.0,1.0,0.0,0.0
159829943,27.322222222222223,29.72222222222222,2.3999999999999986,0.08784058560390397
159917753,0.0,19.665045921123713,19.665045921123713,inf
